No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Jumps,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,,,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,Unibet,Bet Goodwin,Bet Victor,10 Bet
,Epsom,20:00,Sri Lanka Paradise Island Handicap,Class 6,7,"£3,402",Good,Turf,,9,2,Rajinoora,3,Hector Crouch,Michael Bell,3,135,11,,10,11,11,11,11,11,11,11,11,SP
,Epsom,20:00,Sri Lanka Paradise Island Handicap,Class 6,7,"£3,402",Good,Turf,,9,3,Thiscouldbefun,3,Taylor Fisher(3),J S Moore,1,135,15,,15,13,13,13,13,13,13,13,13,SP
,Epsom,20:00,Sri Lanka Paradise Island Handicap,Class 6,7,"£3,402",Good,Turf,,9,4,Graduated,3,Gina Mangan,Dr Richard Newland & Jamie Insole,7,134,4.33,,4.33,3.75,4,3.5,4,4,3.75,4,4,SP
,Epsom,20:00,Sri Lanka Paradise Island Handicap,Class 6,7,"£3,402",Good,Turf,,9,5,Miakoda,3,Pat Cosgrave,James Owen,4,131,4.33,,3.75,4.33,4,4,4,4,4,4,4,SP
,Epsom,20:00,Sri Lanka Paradise Island Handicap,Class 6,7,"£3,402",Good,Turf,,9,6,Cooramook,3,George Wood,Harry Eustace,6,131,12,,12,12,11,11,11,11,11,11,11,SP
,Epsom,20:00,Sri Lanka Paradise Island Handicap,Class 6,7,"£3,402",Good,Turf,,9,7,Berning Hot,3,Kaiya Fraser,Michael Attwater,9,127,17,,17,15,15,15,15,15,15,15,13,SP
,Epsom,20:00,Sri Lanka Paradise Island Handicap,Class 6,7,"£3,402",Good,Turf,,9,8,Arlecchino's Rex,3,Jason Watson,Mark Usher,8,124,10,,10,10,10,10,10,10,10,10,10,SP
,Epsom,20:00,Sri Lanka Paradise Island Handicap,Class 6,7,"£3,402",Good,Turf,,9,9,Blackbrook,3,Jack Dace(7),Jim Boyle,5,118,29,,29,29,29,29,29,29,29,29,29,SP
,Epsom,20:30,Visit Sri Lanka Handicap,Class 5,6,"£4,449",Good,Turf,,8,1,Muscika,11,Jason Watson,David O'Meara,7,140,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,SP
,Epsom,20:30,Visit Sri Lanka Handicap,Class 5,6,"£4,449",Good,Turf,,8,2,Twirler,4,Tommie Jakes(5),Michael Attwater,8,136,4,,4,4,4,4,4,4,4,4,4,SP
,Epsom,20:30,Visit Sri Lanka Handicap,Class 5,6,"£4,449",Good,Turf,,8,3,Simply Blue,3,Connor Planas(3),David Loughnane,5,134,2.88,,2.88,2.88,2.75,2.75,2.75,2.75,2.75,2.75,2.75,SP
,Epsom,20:30,Visit Sri Lanka Handicap,Class 5,6,"£4,449",Good,Turf,,8,4,Big Bard,7,Ashley Lewis(7),Gary & Josh Moore,3,131,10,,10,9.5,9,9,9,9,9,9,9,SP
,Epsom,20:30,Visit Sri Lanka Handicap,Class 5,6,"£4,449",Good,Turf,,8,5,Nordic Games,3,Marco Ghiani,Stuart Williams,2,131,17,,17,13,13,13,13,13,13,13,13,SP
,Epsom,20:30,Visit Sri Lanka Handicap,Class 5,6,"£4,449",Good,Turf,,8,6,Mammy,4,Gina Mangan,Rachel Cook & John Bridger,1,128,8,,8,7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,SP
,Epsom,20:30,Visit Sri Lanka Handicap,Class 5,6,"£4,449",Good,Turf,,8,7,Nelson Rose,4,George Wood,Charlie Wallis,4,127,34,,34,34,34,34,34,34,34,34,34,SP
,Epsom,20:30,Visit Sri Lanka Handicap,Class 5,6,"£4,449",Good,Turf,,8,8,Okami,5,Rhys Clutterbuck,Gary & Josh Moore,6,125,17,,15,17,17,13,17,17,17,17,17,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,1,Best Secret,3,James Doyle,S Wattel,2,135,3.25,,2.75,2.75,3.25,2.75,2.75,3.25,2.88,3,3.13,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,2,Nebras,3,Hollie Doyle,John & Thady Gosden,10,132,23,,23,23,19,21,21,19,21,21,21,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,3,Calla Lagoon,3,Rossa Ryan,Ralph Beckett,12,131,19,,19,19,17,19,19,17,17,19,19,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,4,Marhaba Ghaiyyath,3,William Buick,Charlie Johnston,7,130,9,,9,8,7.5,7.5,7,7.5,7.5,7.5,7.5,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,5,Dante's Lad,3,Billy Loughnane,George Boughey,6,129,17,,17,17,15,15,15,15,15,15,15,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,6,Seagolazo,3,Oisin Murphy,Hugo Palmer,11,129,29,,29,29,26,26,26,26,26,26,26,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,7,Parole d'Oro,3,Ryan Moore,Michael Bell,1,129,10,,10,8,8.5,9,9,8.5,8.5,9,9.5,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,8,Thunder Wonder,3,Joe Fanning,Charlie Johnston,4,129,51,,41,51,41,41,41,41,41,41,41,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,9,High Degree,3,Tom Marquand,William Haggas,18,128,12,,12,10,10,11,10,10,10,10,11,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,10,Daiquiri Bay,3,David Egan,Alan King,17,128,26,,26,26,23,23,23,23,23,23,23,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,11,Ernst Blofeld,3,Christophe Soumillon,John & Thady Gosden,3,126,23,,23,23,21,23,23,21,23,23,23,SP
