No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Jumps,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,,,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,Unibet,Bet Goodwin,Bet Victor,10 Bet
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,3,Brighlee,2,Kieran Shoemark,David Menuisier,6,128,10,,7.5,10,10,10,10,10,9.5,10,10,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,4,Brigid's Well,2,David Probert,Hugo Palmer,17,128,23,,19,21,21,21,21,21,21,21,23,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,5,Deedaydiva,2,Rossa Ryan,Alan King,13,128,34,,34,34,34,34,34,34,34,34,34,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,6,Dictal,2,Oisin Murphy,Andrew Balding,3,128,11,,11,11,11,11,11,11,11,11,11,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,7,Eleanor Shelby,2,Charles Bishop,Brian Meehan,14,128,51,,51,51,51,51,51,51,51,51,51,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,8,Ice Sovereigns,2,William Buick,Charlie Johnston,5,128,10,,10,10,9.5,9.5,9,9.5,9,9.5,9.5,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,9,Isle Of Fernandez,2,Tom Eaves,Kevin Ryan,1,128,19,,17,19,19,19,19,19,17,19,19,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,10,Just Call Me Angel,2,P J McDonald,Ed Dunlop,8,128,41,,41,41,41,41,41,41,41,41,41,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,11,Kilkenny Warrior,2,Rob Hornby,Richard Hughes,2,128,19,,17,17,19,19,19,19,17,19,19,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,12,Lyrics Of Life,2,Christophe Soumillon,Brian Meehan,16,128,15,,15,13,12,12,12,12,12,12,12,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,13,Mythical Night,2,Jim Crowley,Dylan Cunha,7,128,67,,67,67,67,67,67,67,51,67,67,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,14,Proposal,2,Tom Marquand,William Haggas,9,128,7,,7,7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,15,Quiescent,2,James Doyle,Hamad Al Jehani,12,128,5.5,,5.5,5.5,5,5,5,5,5,5,5,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,16,Sea Mehalah Run,2,Daniel Tudhope,Tom Clover,10,128,26,,26,26,26,26,26,26,26,26,26,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,17,Tryst,2,Billy Loughnane,George Boughey,18,128,26,,21,23,23,23,21,23,23,23,26,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,18,Uncertainty,2,Sean Levey,Richard Hannon,11,128,11,,11,10,11,11,11,11,10,11,11,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,1,Antipodes,3,Silvestre De Sousa,Roger Varian,3,135,9,,9,9,9,9,9,9,9,9,9,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,2,We Dare To Dream,3,Daniel Tudhope,David O'Meara,15,135,19,,19,17,17,15,15,17,15,17,17,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,3,War Socks,3,William Buick,Niels Petersen,7,135,19,,19,19,17,17,17,17,17,17,17,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,4,King Casper,3,David Probert,Hugo Palmer,17,135,17,,15,17,17,17,17,17,15,17,17,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,5,Point Of Contact,3,P J McDonald,Andrew Balding,5,134,12,,12,12,11,11,11,11,11,11,11,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,6,Sea Force,3,Tom Marquand,William Haggas,9,134,6.5,,6.5,6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,7,Organ,3,Harry Davies,Martyn Meade,4,134,10,,9,10,10,10,6.5,10,9.5,10,10,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,8,Cavolo Nero,3,Hollie Doyle,James Ferguson,1,134,15,,13,15,15,15,15,15,13,15,15,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,9,Principality,3,Kieran Shoemark,Harry Eustace,13,134,23,,19,23,23,23,23,23,23,23,23,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,10,Abundance,3,Rob Hornby,Jonathan Portman,18,133,21,,21,19,21,21,21,21,19,21,21,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,11,Transparent,3,Sean Levey,Tom Ward,2,132,21,,17,19,21,19,21,21,19,21,21,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,12,Gilet,3,Charles Bishop,Warren Greatrex,11,132,34,,26,29,29,29,29,29,29,29,34,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,13,Impartiality,3,Shane Gray,Phillip Makin,20,131,17,,17,17,17,17,17,17,15,17,17,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,14,Wicked,3,James Doyle,John & Thady Gosden,6,131,7,,6.5,7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,15,Sir Paul Ramsey,3,Joe Fanning,Charlie Johnston,16,128,19,,17,19,17,17,17,17,17,17,17,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,16,Kaleido,3,Oisin Murphy,John & Thady Gosden,8,128,7.5,,7.5,7,7.5,7.5,7.5,7.5,7,7.5,7.5,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,17,Knights Gold,3,Elizabeth Gale(5),Dr Richard Newland & Jamie Insole,12,128,15,,12,15,13,13,13,13,13,13,13,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,18,Canvas,3,Joey Haynes,Scott Dixon,10,126,51,,51,51,41,41,41,41,41,41,41,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,19,Atherstone Warrior,3,Billy Loughnane,Gary & Josh Moore,19,125,26,,26,19,19,19,19,19,19,19,19,SP
,Goodwood,17:30,World Pool Bet With The Tote Handicap,Class 3,8,"£25,770",Good,Turf,,20,20,Winston's Warrior,3,Saffie Osborne,Charles Hills,14,122,34,,34,34,34,34,34,34,34,34,34,SP
,Nottingham,14:18,PricedUp EBF Fillies' Novice Stakes (GBB/IRE Incentive Race),Class 4,5,"£4,320",Good,Turf,,7,1,Little Jaybee,2,Alec Voikhansky(3),Tom Ward,3,132,3.25,,3,3.25,3,3,3,3,3,3,3,SP
,Nottingham,14:18,PricedUp EBF Fillies' Novice Stakes (GBB/IRE Incentive Race),Class 4,5,"£4,320",Good,Turf,,7,2,Baileys Ontherocks,2,Lewis Edmunds,James Tate,5,128,6,,6,5.5,5,5,5,5,5,5,5,SP
,Nottingham,14:18,PricedUp EBF Fillies' Novice Stakes (GBB/IRE Incentive Race),Class 4,5,"£4,320",Good,Turf,,7,3,Jenny Jerome,2,Adam Farragher,Simon Hodgson,2,128,23,,23,21,19,21,21,19,19,21,21,SP
,Nottingham,14:18,PricedUp EBF Fillies' Novice Stakes (GBB/IRE Incentive Race),Class 4,5,"£4,320",Good,Turf,,7,4,Nebrook Star,2,Oisin Orr,Lemos De Souza,4,128,3.5,,3.25,3.5,3.25,3.25,3.25,3.25,3.25,3.25,3.25,SP
,Nottingham,14:18,PricedUp EBF Fillies' Novice Stakes (GBB/IRE Incentive Race),Class 4,5,"£4,320",Good,Turf,,7,5,Rohini,2,Jack Callan(7),Robert Cowell,7,128,13,,11,11,9.5,10,13,9.5,10,10,10,SP
,Nottingham,14:18,PricedUp EBF Fillies' Novice Stakes (GBB/IRE Incentive Race),Class 4,5,"£4,320",Good,Turf,,7,6,She's Crafty,2,Neil Callan,Jack Morland,6,128,23,,23,23,21,21,21,21,21,21,21,SP
,Nottingham,14:18,PricedUp EBF Fillies' Novice Stakes (GBB/IRE Incentive Race),Class 4,5,"£4,320",Good,Turf,,7,7,Vishaka,2,Dylan Hogan,David Simcock,1,128,5,,4.5,5,5,5,5,5,4.5,5,5,SP
,Nottingham,14:53,PricedUp Daily Sports Boosts Handicap,Class 6,6,"£3,402",Good,Turf,,6,1,Moby Quick,3,Darragh Keenan,George Scott,4,141,2.5,,2.5,2.5,2.38,2.38,2.38,2.38,2.38,2.38,2.38,SP
,Nottingham,14:53,PricedUp Daily Sports Boosts Handicap,Class 6,6,"£3,402",Good,Turf,,6,2,Rye,3,William Carson,Tony Carroll,3,135,4,,4,4,3.75,3.75,3.75,3.75,3.75,3.75,3.75,SP
,Nottingham,14:53,PricedUp Daily Sports Boosts Handicap,Class 6,6,"£3,402",Good,Turf,,6,3,Westgate Warrior,3,Lewis Edmunds,Roy Bowring,2,130,21,,19,21,21,21,21,21,19,21,21,SP
,Nottingham,14:53,PricedUp Daily Sports Boosts Handicap,Class 6,6,"£3,402",Good,Turf,,6,4,Early Release,3,Neil Callan,David Evans,5,129,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,SP
,Nottingham,14:53,PricedUp Daily Sports Boosts Handicap,Class 6,6,"£3,402",Good,Turf,,6,5,Lunar Force,3,Sean Kirrane,Tim Easterby,1,128,9,,9,9,9,9,9,9,9,9,9,SP
,Nottingham,14:53,PricedUp Daily Sports Boosts Handicap,Class 6,6,"£3,402",Good,Turf,,6,6,Lima Sierra,3,Alex Jary(5),Nigel Tinkler,6,125,9,,8.5,9,8.5,8.5,8.5,8.5,8.5,8.5,8.5,SP
,Nottingham,15:30,"PricedUp Bet EBF Restricted Novice Stakes (For horses In Bands B, C And D) (GBB Race)",Class 5,8.5,"£3,780",Good,Turf,,9,1,Arboreous,3,William Cox,Archie Watson,1,133,12,,12,12,11,11,11,11,11,11,11,SP
,Nottingham,15:30,"PricedUp Bet EBF Restricted Novice Stakes (For horses In Bands B, C And D) (GBB Race)",Class 5,8.5,"£3,780",Good,Turf,,9,2,Oh So Cool,3,Dougie Costello,Rebecca Menzies,2,133,151,,101,151,151,151,151,151,151,151,151,SP
,Nottingham,15:30,"PricedUp Bet EBF Restricted Novice Stakes (For horses In Bands B, C And D) (GBB Race)",Class 5,8.5,"£3,780",Good,Turf,,9,3,Vincent Rocks,3,Oisin Orr,Hugo Palmer,4,133,21,,21,21,19,21,19,19,19,19,21,SP
,Nottingham,15:30,"PricedUp Bet EBF Restricted Novice Stakes (For horses In Bands B, C And D) (GBB Race)",Class 5,8.5,"£3,780",Good,Turf,,9,4,Alther Walden,3,Darragh Keenan,George Scott,6,131,7,,7,6.5,6,6,5,6,6,6,6,SP
,Nottingham,15:30,"PricedUp Bet EBF Restricted Novice Stakes (For horses In Bands B, C And D) (GBB Race)",Class 5,8.5,"£3,780",Good,Turf,,9,5,Alfie D,3,Neil Callan,James Tate,9,129,19,,19,17,17,17,17,17,15,17,17,SP
,Nottingham,15:30,"PricedUp Bet EBF Restricted Novice Stakes (For horses In Bands B, C And D) (GBB Race)",Class 5,8.5,"£3,780",Good,Turf,,9,6,Mezcala,3,George Bass,Jack Channon,5,129,3.5,,3.5,3,3.25,2.88,3.25,3.25,3.13,3.25,3.2,SP
,Nottingham,15:30,"PricedUp Bet EBF Restricted Novice Stakes (For horses In Bands B, C And D) (GBB Race)",Class 5,8.5,"£3,780",Good,Turf,,9,7,Dancingintherain,3,Dylan Hogan,Saeed bin Suroor,3,128,1.91,,1.91,1.83,1.91,1.91,1.83,1.91,1.83,1.91,1.91,SP
,Nottingham,15:30,"PricedUp Bet EBF Restricted Novice Stakes (For horses In Bands B, C And D) (GBB Race)",Class 5,8.5,"£3,780",Good,Turf,,9,8,Pourtales,3,Curtis Wilson-Ruddock(7),Marco Botti,8,128,51,,51,51,41,51,41,41,41,51,51,SP
,Nottingham,15:30,"PricedUp Bet EBF Restricted Novice Stakes (For horses In Bands B, C And D) (GBB Race)",Class 5,8.5,"£3,780",Good,Turf,,9,9,Maeva,3,Benoit De La Sayette,Charlie Fellowes,7,126,15,,15,15,13,13,13,13,13,13,13,SP
,Nottingham,16:05,pricedup.bet Boosts Handicap (A Jockey Club Grassroots Mile Series Qualifier),Class 5,8.5,"£4,187",Good,Turf,,10,1,Dream Pirate,5,Adam Farragher,T J Kent,2,142,4,,4,4,4,4,4,4,4,4,4,SP
,Nottingham,16:05,pricedup.bet Boosts Handicap (A Jockey Club Grassroots Mile Series Qualifier),Class 5,8.5,"£4,187",Good,Turf,,10,2,Soames Forsyte,6,Dylan Hogan,Michael Herrington,1,142,19,,19,15,15,15,15,15,13,15,15,SP
,Nottingham,16:05,pricedup.bet Boosts Handicap (A Jockey Club Grassroots Mile Series Qualifier),Class 5,8.5,"£4,187",Good,Turf,,10,3,Between Me And U,4,Andrea Pinna(7),Michael Herrington,8,139,9,,9,8.5,8,8,8,8,8,8,8,SP
,Nottingham,16:05,pricedup.bet Boosts Handicap (A Jockey Club Grassroots Mile Series Qualifier),Class 5,8.5,"£4,187",Good,Turf,,10,4,Ravishing Beauty,4,Aiden Brookes(3),Jedd O'Keeffe,4,137,5.5,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,SP
,Nottingham,16:05,pricedup.bet Boosts Handicap (A Jockey Club Grassroots Mile Series Qualifier),Class 5,8.5,"£4,187",Good,Turf,,10,5,Law Supreme,6,Callum Hutchinson,Ian Williams,3,136,13,,13,13,13,13,13,13,12,13,12,SP
,Nottingham,16:05,pricedup.bet Boosts Handicap (A Jockey Club Grassroots Mile Series Qualifier),Class 5,8.5,"£4,187",Good,Turf,,10,6,Naval Academy,5,Dougie Costello,Mark Walford,9,135,12,,8.5,12,11,11,11,11,11,11,11,SP
,Nottingham,16:05,pricedup.bet Boosts Handicap (A Jockey Club Grassroots Mile Series Qualifier),Class 5,8.5,"£4,187",Good,Turf,,10,7,Mini Mac,3,Benoit De La Sayette,Christine Dunnett,10,133,6,,6,5.5,5.5,5.5,5.5,5.5,5,5.5,5.5,SP
,Nottingham,16:05,pricedup.bet Boosts Handicap (A Jockey Club Grassroots Mile Series Qualifier),Class 5,8.5,"£4,187",Good,Turf,,10,8,Sixteen One,3,Darragh Keenan,Robert Eddery,5,132,34,,26,34,34,34,34,34,34,34,34,SP
,Nottingham,16:05,pricedup.bet Boosts Handicap (A Jockey Club Grassroots Mile Series Qualifier),Class 5,8.5,"£4,187",Good,Turf,,10,9,Dovey Moon,3,Neil Callan,David Evans,6,131,11,,11,11,11,11,11,11,11,11,11,SP
,Nottingham,16:05,pricedup.bet Boosts Handicap (A Jockey Club Grassroots Mile Series Qualifier),Class 5,8.5,"£4,187",Good,Turf,,10,10,Pay Attention,3,Jack Callan(7),Faye Bramley,7,129,6,,6,5.5,5.5,5.5,5.5,5.5,5,5.5,5.5,SP
,Nottingham,16:40,PricedUp Pushes Handicap (A Jockey Club Grassroots Stayers' Series Qualifier),Class 6,14,"£3,402",Good,Turf,,7,1,Scudamore,8,Lewis Edmunds,Jennie Candlish,1,142,15,,13,15,15,15,15,15,13,15,15,SP
,Nottingham,16:40,PricedUp Pushes Handicap (A Jockey Club Grassroots Stayers' Series Qualifier),Class 6,14,"£3,402",Good,Turf,,7,2,Chillhi,5,Darragh Keenan,James Owen,2,139,2.38,,2.38,2.38,2.25,2.25,2.25,2.25,2.25,2.25,2.25,SP
,Nottingham,16:40,PricedUp Pushes Handicap (A Jockey Club Grassroots Stayers' Series Qualifier),Class 6,14,"£3,402",Good,Turf,,7,3,Regally Blonde,6,Jack Callan(7),Ben Case,3,138,3.25,,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,SP
,Nottingham,16:40,PricedUp Pushes Handicap (A Jockey Club Grassroots Stayers' Series Qualifier),Class 6,14,"£3,402",Good,Turf,,7,4,Blenheim Lad,5,Callum Hutchinson,Camilla Poulton,6,137,9,,8.5,9,9,9,9,9,9,9,9,SP
,Nottingham,16:40,PricedUp Pushes Handicap (A Jockey Club Grassroots Stayers' Series Qualifier),Class 6,14,"£3,402",Good,Turf,,7,5,Twoforthegutter,5,Tyler Heard,Christopher Kellett,5,135,13,,12,13,13,13,13,13,13,13,13,SP
,Nottingham,16:40,PricedUp Pushes Handicap (A Jockey Club Grassroots Stayers' Series Qualifier),Class 6,14,"£3,402",Good,Turf,,7,6,Godstone,3,Alec Voikhansky(3),Tom Ward,4,124,11,,11,10,10,10,10,10,10,10,10,SP
,Nottingham,16:40,PricedUp Pushes Handicap (A Jockey Club Grassroots Stayers' Series Qualifier),Class 6,14,"£3,402",Good,Turf,,7,7,Rupert The Prince,3,Laura Pearson,Paddy Butler,7,117,11,,10,9.5,11,11,8,11,10,11,11,SP
,Nottingham,17:15,PricedUp AJA Novice Amateur Jockeys' Handicap (For Riders With 3 Wins Or Fewer At Start Of Season),Class 5,10,"£3,974",Good,Turf,,10,1,Miaswell,4,Miss Lizzie O'Neill(3),Donald McCain,2,163,29,,29,26,26,26,26,26,26,26,26,SP
,Nottingham,17:15,PricedUp AJA Novice Amateur Jockeys' Handicap (For Riders With 3 Wins Or Fewer At Start Of Season),Class 5,10,"£3,974",Good,Turf,,10,2,Bass Player,6,Miss Lauren Frost,Kevin Frost,5,163,8.5,,8.5,8,8,8,8,8,8,8,8,SP
,Nottingham,17:15,PricedUp AJA Novice Amateur Jockeys' Handicap (For Riders With 3 Wins Or Fewer At Start Of Season),Class 5,10,"£3,974",Good,Turf,,10,3,Saliko,3,Mr Paul Hainey,Jack Jones,6,157,4,,4,3.75,3.75,3.75,3.75,3.75,3.5,3.75,3.75,SP
,Nottingham,17:15,PricedUp AJA Novice Amateur Jockeys' Handicap (For Riders With 3 Wins Or Fewer At Start Of Season),Class 5,10,"£3,974",Good,Turf,,10,4,Major Major,5,Mr Lucas Murphy(3),Richard Hannon,10,153,11,,10,11,11,11,11,11,11,11,11,SP
,Nottingham,17:15,PricedUp AJA Novice Amateur Jockeys' Handicap (For Riders With 3 Wins Or Fewer At Start Of Season),Class 5,10,"£3,974",Good,Turf,,10,5,Sea Of Charm,7,Mr William Dunlop(3),Georgina Nicholls,1,152,5,,5,5,5,5,5,5,4.5,5,5,SP
,Nottingham,17:15,PricedUp AJA Novice Amateur Jockeys' Handicap (For Riders With 3 Wins Or Fewer At Start Of Season),Class 5,10,"£3,974",Good,Turf,,10,6,Faster Bee,4,Miss Remie Morgan(3),Fergal O'Brien,7,150,13,,13,11,11,11,11,11,11,11,11,SP
,Nottingham,17:15,PricedUp AJA Novice Amateur Jockeys' Handicap (For Riders With 3 Wins Or Fewer At Start Of Season),Class 5,10,"£3,974",Good,Turf,,10,7,Change Of Fortune,6,Miss Jessica Llewellyn,Bernard Llewellyn,3,150,6,,6,5,5,5.5,5,5,5,5,5.5,SP
,Nottingham,17:15,PricedUp AJA Novice Amateur Jockeys' Handicap (For Riders With 3 Wins Or Fewer At Start Of Season),Class 5,10,"£3,974",Good,Turf,,10,8,Dogged,8,Mr Philip Thomas,Grace Harris,9,149,11,,7,11,11,11,11,11,11,11,11,SP
,Nottingham,17:15,PricedUp AJA Novice Amateur Jockeys' Handicap (For Riders With 3 Wins Or Fewer At Start Of Season),Class 5,10,"£3,974",Good,Turf,,10,9,Bondi Man,6,Mr Cameron Hillhouse,Sarah Hollinshead,8,144,34,,34,26,26,26,26,26,26,26,26,SP
,Nottingham,17:15,PricedUp AJA Novice Amateur Jockeys' Handicap (For Riders With 3 Wins Or Fewer At Start Of Season),Class 5,10,"£3,974",Good,Turf,,10,10,Jack Andrea,3,Mr Henry Callan(3),Robert Eddery,4,142,8,,8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,1,Supreme King,5,Daniel Muscutt,David Evans,11,140,15,,15,15,15,15,15,15,15,15,15,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,2,The Thames Boatman,5,Finley Marsh,Richard Hughes,12,140,8.5,,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,3,Aberama Gold,8,Cieren Fallon,David O'Meara,5,139,10,,9,10,10,10,10,10,10,10,10,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,4,Stanley Spencer,4,Jack Nicholls(7),James Tate,4,139,7.5,,7.5,7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,5,Intervention,8,Alistair Rawlinson,Michael Appleby,2,137,11,,11,10,9,9,9,9,9,9,9,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,6,Raffles Angel,4,Trevor Whelan,Jack Jones,6,135,7.5,,7,7.5,7,7,7,7,7,7,7,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,7,Rebel Empire,4,Joe Leavy,Richard Hannon,8,135,21,,19,21,21,21,21,21,21,21,21,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,8,Scarboroughwarning,4,Luke Morris,Sir Mark Prescott Bt,1,135,7.5,,7.5,6.5,6,6,6,6,6,6,6,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,9,Coup De Force,6,William Carver,Stuart Kittow,13,135,9,,8,9,9,9,9,9,9,9,9,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,10,Monsieur Kodi,6,Cam Hardie,Richard Fahey,10,134,21,,19,21,21,21,21,21,21,21,21,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,11,Eternal Sunshine,5,Paul Mulrennan,Jim Goldie,7,132,11,,10,11,10,10,10,10,10,10,10,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,12,Noble Victory,3,David Allan,James Tate,3,130,15,,15,15,13,13,13,13,13,13,13,SP
,Wolverhampton (AW),17:45,Racing League Race 8 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,13,Chuti Manika,3,Oliver Stammers,Charlie Johnston,9,126,9,,8,9,9,9,9,9,9,9,9,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,1,Miraculous,3,Jack Mitchell,Roger Varian,5,140,4.33,,4.33,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,2,Sudden Flight,3,Finley Marsh,Richard Hughes,2,140,7.5,,7.5,7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,NR,Leadenhall Street,3,NON-RUNNER,James Fanshawe,9,139,,,-,-,-,-,-,-,-,-,SP,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,4,Hello Zaman,3,David Allan,James Tate,13,138,13,,12,12,13,13,13,13,13,13,13,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,5,Alpha Magic,3,Joanna Mason,Michael & David Easterby,10,137,26,,23,23,26,26,26,26,26,26,26,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,6,Good Banter,3,Jason Hart,Jennie Candlish,4,136,13,,13,13,13,13,13,13,13,13,13,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,7,Azure Zain,3,Cam Hardie,Richard Fahey,8,135,21,,19,21,21,21,21,21,21,21,21,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,8,Dark Ace,3,Cieren Fallon,Adrian McGuinness,3,135,9,,9,7.5,7,7,7,7,7,7,7,SP
