No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Silk,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,ORI,Best,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,,,RESULT,SP odd,,Form,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chelmsford (AW),18:40,Hazy Day Nursery Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/9/4/4/361449.svg,6,3,Whiskey Neat,2,Benoit De La Sayette,Patrick Owens,4,134,6.5,7,7,7,7,6,6.5,7,080,,,,,,,,David Nolan,1,17:35 | Chester | Arrange,,,,,,,,,,,Marco Botti,2,15:15 | Chester | Al Shabab Storm,15:35 | Sandown | Looka,,,,,,,,,
,Chelmsford (AW),18:40,Hazy Day Nursery Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/7/8/2/227287.svg,6,4,Audere,2,Luke Morris,Dean Ivory,1,132,11,8.5,8.5,8,8,8,8,8,796,,,,,,,,Miss Alice Tregoning,1,16:50 | Lingfield (AW) | Raqraaq,,,,,,,,,,,Jane Chapple-Hyam,4,15:15 | Chester | Crown Board,15:50 | Chester | Dryburgh,17:00 | Chester | El Bodon,16:10 | Sandown | Lovers Leap,,,,,,,
,Chelmsford (AW),18:40,Hazy Day Nursery Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/8/5/8/9858.svg,6,5,Karakula Dancer,2,Jonny Peate,James Ferguson,6,132,7.5,2.88,2.88,2.88,2.75,2.75,2.88,2.75,570,,,,,,,,Miss Brodie Hampson,1,16:50 | Lingfield (AW) | Persian Phoenix,,,,,,,,,,,Jonathan Portman,1,15:15 | Chester | Two Tempting,,,,,,,,,,
,Chelmsford (AW),18:40,Hazy Day Nursery Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/b/9/3/342339b.svg,6,6,Captain Bruce,2,Hollie Doyle,Nigel Tinkler,3,125,21,13,13,13,13,12,13,13,0098,,,,,,,,Mr Jake Holman,1,16:50 | Lingfield (AW) | Henrytheninth,,,,,,,,,,,Tony Coyle & Kaine Wood,1,15:15 | Chester | Thunder Roar,,,,,,,,,,
,Chelmsford (AW),19:10,Greene King IPA Nursery Handicap,Class 5,5,"£4,711",Standard,AW,https://www.rp-assets.com/svg/7/2/9/359927.svg,9,1,Love Alive,2,Sam Hitchcott,Richard Hannon,4,135,10,15,12,15,15,15,15,15,844,,,,,,,,Mr Jude Fernandes,1,16:50 | Lingfield (AW) | Gone Rogue,,,,,,,,,,,Harriet Bethell,1,15:15 | Chester | Yanifer,,,,,,,,,,
,Chelmsford (AW),19:10,Greene King IPA Nursery Handicap,Class 5,5,"£4,711",Standard,AW,https://www.rp-assets.com/svg/7/4/4/355447.svg,9,2,Artista,2,Stevie Donohoe,Ollie Sangster,6,133,10,7,7,6,6,6,6,6,31350,,,,,,,,Mr Ross Birkett,1,16:50 | Lingfield (AW) | Zaltalla,,,,,,,,,,,Adrian Paul Keatley,3,15:15 | Chester | Flying Finn,17:00 | Chester | Francisco's Piece,17:00 | Chester | Wobwobwob,,,,,,,,
,Chelmsford (AW),19:10,Greene King IPA Nursery Handicap,Class 5,5,"£4,711",Standard,AW,https://www.rp-assets.com/svg/c/4/9/299294c.svg,9,3,Riffa Spirit,2,Liam Wright(5),Simon & Ed Crisford,9,133,4.5,6,6,6,5.5,5.5,5.5,5.5,71,,,,,,,,Mr Henry Callan,1,16:50 | Lingfield (AW) | Rising Force,,,,,,,,,,,David Loughnane,3,16:25 | Chester | Simply Blue,17:00 | Chester | Marty Hopkirk,13:50 | Sandown | Metabolt,,,,,,,,
,Chelmsford (AW),19:10,Greene King IPA Nursery Handicap,Class 5,5,"£4,711",Standard,AW,https://www.rp-assets.com/svg/2/4/2/280242.svg,9,4,Campenaerts,2,Hollie Doyle,Archie Watson,7,132,5.5,6,6,6,5,5,5,5,6441,,,,,,,,Miss Imogen Mathias,1,16:50 | Lingfield (AW) | Endowed,,,,,,,,,,,Richard Spencer,2,17:00 | Chester | Candy,16:45 | Sandown | You Sexy Thing,,,,,,,,,
,Chelmsford (AW),19:10,Greene King IPA Nursery Handicap,Class 5,5,"£4,711",Standard,AW,https://www.rp-assets.com/svg/7/6/5/356567.svg,9,NR,Diamond Alexander,2,NON-RUNNER,David Evans,8,131,N/A,,,,,,,,42650,,,,,,,,Miss Remie Morgan,1,16:50 | Lingfield (AW) | Faster Bee,,,,,,,,,,,Jamie Osborne,3,17:00 | Chester | Jungle Drums,13:50 | Sandown | Tarkhan,15:00 | Sandown | Flight Leader,,,,,,,,
,Chelmsford (AW),19:10,Greene King IPA Nursery Handicap,Class 5,5,"£4,711",Standard,AW,https://www.rp-assets.com/svg/8/3/5/286538.svg,9,6,Dandy's Rocket,2,Luke Morris,Michael Appleby,1,131,4.33,3.75,3.5,3.75,3.5,3.5,3.5,3.5,64611,,,,,,,,Miss Ruby Criscuolo,1,16:50 | Lingfield (AW) | Saved Lizzie,,,,,,,,,,,Joe Tickle,1,17:00 | Chester | Mcmanaman,,,,,,,,,,
,Chelmsford (AW),19:10,Greene King IPA Nursery Handicap,Class 5,5,"£4,711",Standard,AW,https://www.rp-assets.com/svg/4/0/9/319904.svg,9,7,Rajak,2,Mason Paetel(5),Michael Bell,5,129,12,17,17,17,15,15,15,15,847115,,,,,,,,Trevor Whelan,2,17:25 | Lingfield (AW) | Halla Bil Zain,19:25 | Lingfield (AW) | Catherine's Gift,,,,,,,,,,Peter Chapple-Hyam,1,17:00 | Chester | Photosynthesis,,,,,,,,,,
,Chelmsford (AW),19:10,Greene King IPA Nursery Handicap,Class 5,5,"£4,711",Standard,AW,https://www.rp-assets.com/svg/b/9/0/223109b.svg,9,8,Startled,2,Finley Marsh,Richard Hughes,3,128,7,7,7,6.5,6.5,6.5,6.5,6.5,873,,,,,,,,Jason Watson,4,17:25 | Lingfield (AW) | Booziebrunch,18:25 | Lingfield (AW) | Latona,18:55 | Lingfield (AW) | Virtue Temperance,19:25 | Lingfield (AW) | Playtime,,,,,,,,Tom Dascombe,1,17:35 | Chester | Barenboim,,,,,,,,,,
,Chelmsford (AW),19:10,Greene King IPA Nursery Handicap,Class 5,5,"£4,711",Standard,AW,https://www.rp-assets.com/svg/b/1/5/262151b.svg,9,9,Henrythenate,2,Pat Cosgrave,Charlie Fellowes,2,123,9,11,11,9.5,9.5,9.5,9,9.5,63464,,,,,,,,Darragh Keenan,4,17:25 | Lingfield (AW) | Jack The Tooth,17:55 | Lingfield (AW) | Arlo's Girl,18:55 | Lingfield (AW) | Fiorella Princess,19:25 | Lingfield (AW) | Saliko,,,,,,,,Martin Todhunter,1,17:35 | Chester | Arrange,,,,,,,,,,
,Chelmsford (AW),19:40,Estrella Galicia Classified Stakes,Class 6,5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/4/0/7/314704.svg,8,1,Pinjarra,4,Sam Feilden(5),John & Sean Quinn,2,136,4.33,3.5,3.5,3.5,3.25,3.25,3.25,3.25,525491,,,,,,,,Jack Doughty,4,17:25 | Lingfield (AW) | Blooming Legend,17:55 | Lingfield (AW) | Perfect Panda,18:25 | Lingfield (AW) | Royal Jet,18:55 | Lingfield (AW) | Juno Star,,,,,,,,Jennie Candlish,1,17:35 | Chester | It's All About You,,,,,,,,,,
,Chelmsford (AW),19:40,Estrella Galicia Classified Stakes,Class 6,5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/2/1/8/351812.svg,8,2,Alfa Moonstone,4,Liam Wright(5),Stephanie Cassidy,3,135,13,11,11,10,10,10,9,10,9-0905,,,,,,,,William Cox,3,17:25 | Lingfield (AW) | Zipwire,17:55 | Lingfield (AW) | Carefree Dream,18:25 | Lingfield (AW) | Spirit Charmer,,,,,,,,,Ewan Whillans,1,17:35 | Chester | Cracker Star,,,,,,,,,,
,Chelmsford (AW),19:40,Estrella Galicia Classified Stakes,Class 6,5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/0/5/7/82750.svg,8,3,Battle Point,6,Morgan Cole(5),Michael Attwater,7,135,29,34,34,29,29,29,29,29,772669,,,,,,,,William Carson,3,17:55 | Lingfield (AW) | Q T Pie,18:25 | Lingfield (AW) | Kento,18:55 | Lingfield (AW) | Hint Of Humour,,,,,,,,,Patrick Chamings,2,16:50 | Lingfield (AW) | Raqraaq,18:25 | Lingfield (AW) | Spirit Charmer,,,,,,,,,
,Chelmsford (AW),19:40,Estrella Galicia Classified Stakes,Class 6,5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/9/8/1/337189.svg,8,4,Marcus,4,Benoit De La Sayette,Charlie Wallis,6,135,6,8,7.5,8,7.5,7,7,7.5,362353,,,,,,,,Paddy Bradley,3,17:55 | Lingfield (AW) | Rose Of Spain,18:25 | Lingfield (AW) | Hold The Press,19:25 | Lingfield (AW) | Soy Loco,,,,,,,,,Clare Hobson,1,16:50 | Lingfield (AW) | Henrytheninth,,,,,,,,,,
,Chelmsford (AW),19:40,Estrella Galicia Classified Stakes,Class 6,5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/6/4/4/259446.svg,8,5,Sam's Hope,5,Luke Morris,Martin Dunne,5,135,4,4.5,4.33,4.5,4.5,4.33,4,4.5,279242,,,,,,,,Gina Mangan,3,17:55 | Lingfield (AW) | Ar Diddy Dum Dum,18:25 | Lingfield (AW) | Lovely Jubly,19:25 | Lingfield (AW) | Imperial Cult,,,,,,,,,Robert Eddery,3,16:50 | Lingfield (AW) | Rising Force,16:50 | Lingfield (AW) | Saved Lizzie,17:20 | Sandown | Spring Bloom,,,,,,,,
,Chelmsford (AW),19:40,Estrella Galicia Classified Stakes,Class 6,5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/9/0/7/218709.svg,8,6,Sam's Xpress,5,Dylan Hogan,Julia & Shelley Birkett,4,135,6,6,6,5.5,5.5,6,5.5,5.5,979062,,,,,,,,Olivia Haines,1,17:55 | Lingfield (AW) | Loleeta,,,,,,,,,,,John & Rhys Flint,1,16:50 | Lingfield (AW) | Endowed,,,,,,,,,,
,Chelmsford (AW),19:40,Estrella Galicia Classified Stakes,Class 6,5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/9/6/1/345169.svg,8,7,War Zone,4,Joey Haynes,Chelsea Banham,1,135,15,17,17,17,17,13,17,17,489979,,,,,,,,Charlie Bennett,1,18:25 | Lingfield (AW) | Buttercross Flyer,,,,,,,,,,,Damien Wingrove,1,16:50 | Lingfield (AW) | The Cola Brasil,,,,,,,,,,
,Chelmsford (AW),19:40,Estrella Galicia Classified Stakes,Class 6,5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/c/2/9/193892c.svg,8,8,Apple's Angel,3,Hollie Doyle,Simon Dow,8,134,5.5,8,7,8,7.5,7.5,7.5,7.5,512892,,,,,,,,Tyrese Cameron,3,18:25 | Lingfield (AW) | Capallcliste,18:55 | Lingfield (AW) | Smooth Silesie,19:25 | Lingfield (AW) | Emily Rebecca,,,,,,,,,Fergal O'Brien,3,16:50 | Lingfield (AW) | Faster Bee,14:15 | Newton Abbot | Never Told Me,14:45 | Newton Abbot | Saratoga Lass,,,,,,,,
,Chelmsford (AW),20:10,CCR Fireworks Spectacular Handicap,Class 6,13.5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/7/9/6/27697.svg,8,1,Inlet,4,Connor Planas(3),Rae Guest,8,138,4.33,4.5,4.5,4.33,4.33,4,4,4.33,724542,,,,,,,,Callum Hutchinson,1,18:25 | Lingfield (AW) | Haaf A Diamond,,,,,,,,,,,Owen Burrows,2,17:25 | Lingfield (AW) | Halla Bil Zain,16:45 | Sandown | Lohoobb,,,,,,,,,
,Chelmsford (AW),20:10,CCR Fireworks Spectacular Handicap,Class 6,13.5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/9/4/7/338749.svg,8,2,Young Endless,6,Hollie Doyle,Kevin Frost,6,138,9.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,341603,,,,,,,,Alexandra Egan,3,18:25 | Lingfield (AW) | Invincible Navy,18:55 | Lingfield (AW) | Money Pockets,19:25 | Lingfield (AW) | High Court Judge,,,,,,,,,S Woods,2,17:25 | Lingfield (AW) | Booziebrunch,15:00 | Sandown | Savvy Victory,,,,,,,,,
,Chelmsford (AW),20:10,CCR Fireworks Spectacular Handicap,Class 6,13.5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/b/4/1/333714b.svg,8,3,Night Horn,4,Finley Marsh,Michael Keady,3,136,10,15,15,15,15,15,15,15,847646,,,,,,,,Tom Queally,1,18:25 | Lingfield (AW) | Okami,,,,,,,,,,,Charlie Clover,1,17:25 | Lingfield (AW) | Blooming Legend,,,,,,,,,,
,Chelmsford (AW),20:10,CCR Fireworks Spectacular Handicap,Class 6,13.5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/9/0/7/218709.svg,8,4,Mrs Meader,9,Sam Feilden(5),Julia & Shelley Birkett,7,132,23,29,29,29,29,29,26,29,0-6488,,,,,,,,Josephine Gordon,2,18:25 | Lingfield (AW) | Vitalline,19:25 | Lingfield (AW) | Enough Already,,,,,,,,,,J S Moore,2,17:25 | Lingfield (AW) | Zipwire,17:55 | Lingfield (AW) | Carefree Dream,,,,,,,,,
,Chelmsford (AW),20:10,CCR Fireworks Spectacular Handicap,Class 6,13.5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/b/0/4/264240b.svg,8,5,Belaya River,3,Pat Cosgrave,Charlie Fellowes,2,130,5,5,5,5,4.33,4.33,4.5,4.33,480,,,,,,,,Rhys Clutterbuck,2,18:25 | Lingfield (AW) | Keith's Star,18:55 | Lingfield (AW) | Gogo Yubari,,,,,,,,,,Joseph Parr,1,17:55 | Lingfield (AW) | Arlo's Girl,,,,,,,,,,
,Chelmsford (AW),20:10,CCR Fireworks Spectacular Handicap,Class 6,13.5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/6/4/6/360646.svg,8,6,Arenas Del Tiempo,7,Dylan Hogan,Jim & Suzi Best,4,130,8,10,9,10,9,9,9,9,948554,,,,,,,,Oliver Carmichael,1,18:25 | Lingfield (AW) | Rotation,,,,,,,,,,,Daniel & Claire Kubler,2,17:55 | Lingfield (AW) | Q T Pie,17:20 | Sandown | Lil Guff,,,,,,,,,
,Chelmsford (AW),20:10,CCR Fireworks Spectacular Handicap,Class 6,13.5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/7/2/9/347927.svg,8,7,Hamdani Cruiser,3,Neil Callan,James Horton,5,128,6.5,9.5,8.5,9.5,9,8.5,9,9,49-606,,,,,,,,Grace McEntee,1,19:25 | Lingfield (AW) | Obsidian Knight,,,,,,,,,,,Scott Dixon,1,18:25 | Lingfield (AW) | Buttercross Flyer,,,,,,,,,,
,Chelmsford (AW),20:10,CCR Fireworks Spectacular Handicap,Class 6,13.5,"£3,664",Standard,AW,https://www.rp-assets.com/svg/8/5/6/265658.svg,8,8,Grand Harbour,3,Luke Morris,Sir Mark Prescott Bt,1,126,5,4,4,3.75,3.75,3.75,3.75,3.75,053236,,,,,,,,Tyler Heard,1,19:25 | Lingfield (AW) | The Bay Warrior,,,,,,,,,,,Simon Hodgson,1,18:25 | Lingfield (AW) | Capallcliste,,,,,,,,,,
,Chelmsford (AW),20:40,Celebrate Christmas At Chelmsford Racecourse Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/7/3/7/250737.svg,10,1,Jackson Street,4,Tommie Jakes(5),Michael Attwater,10,135,9,13,12,13,11,11,11,11,808283,,,,,,,,Isabel Williams,2,14:15 | Newton Abbot | Lynsey Larue,16:30 | Newton Abbot | Balkardy,,,,,,,,,,J R Jenkins,1,18:25 | Lingfield (AW) | Hold The Press,,,,,,,,,,
,Chelmsford (AW),20:40,Celebrate Christmas At Chelmsford Racecourse Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/5/7/3/353375.svg,10,2,Gundogan,4,Dougie Costello,Ross Burdon,3,135,8.5,5,5,4.5,4.5,5,4.5,4.5,473277,,,,,,,,Jonathan Burke,1,14:15 | Newton Abbot | Never Told Me,,,,,,,,,,,Tony Carroll,4,18:25 | Lingfield (AW) | Kento,18:25 | Lingfield (AW) | Royal Jet,18:55 | Lingfield (AW) | Hint Of Humour,18:55 | Lingfield (AW) | Gogo Yubari,,,,,,,
,Chelmsford (AW),20:40,Celebrate Christmas At Chelmsford Racecourse Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/b/1/1/330811b.svg,10,3,Wilde And Dandy,5,Stevie Donohoe,Ivan Furtado,4,134,6.5,7,7,7,7,7,7,7,767616,,,,,,,,Kielan Woods,1,14:15 | Newton Abbot | Irisante,,,,,,,,,,,Keiran Burke,2,18:25 | Lingfield (AW) | Vitalline,16:30 | Newton Abbot | The Height Of Fame,,,,,,,,,
,Chelmsford (AW),20:40,Celebrate Christmas At Chelmsford Racecourse Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/b/0/1/361110b.svg,10,4,Love Your Work,9,Donagh Murphy(7),Darryll Holland,9,134,19,23,23,23,21,21,21,21,078404,,,,,,,,Ben Jones,1,14:15 | Newton Abbot | Midnight Pass,,,,,,,,,,,Rachel Cook & John Bridger,2,18:25 | Lingfield (AW) | Keith's Star,19:25 | Lingfield (AW) | Imperial Cult,,,,,,,,,
,Chelmsford (AW),20:40,Celebrate Christmas At Chelmsford Racecourse Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/9/0/7/218709.svg,10,5,Rusheen Boy,4,Dylan Hogan,Julia & Shelley Birkett,5,131,5.5,8.5,8,8.5,7.5,7.5,7.5,7.5,415425,,,,,,,,Isabelle Ryder,1,14:15 | Newton Abbot | Casual Encounter,,,,,,,,,,,Eve Johnson Houghton,4,18:25 | Lingfield (AW) | Rotation,13:50 | Sandown | Walson's Law,14:25 | Sandown | Betty Clover,16:45 | Sandown | Airside,,,,,,,
,Chelmsford (AW),20:40,Celebrate Christmas At Chelmsford Racecourse Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/4/2/6/287624.svg,10,6,American Treasure,4,Pat Cosgrave,Stuart Williams,2,131,17,17,17,17,15,15,15,15,340788,,,,,,,,Sam Twiston-Davies,3,14:15 | Newton Abbot | Manyana Blue,15:20 | Newton Abbot | Breaking Cover,15:55 | Newton Abbot | Gore Point,,,,,,,,,Lisa Williamson,1,18:55 | Lingfield (AW) | Smooth Silesie,,,,,,,,,,
,Chelmsford (AW),20:40,Celebrate Christmas At Chelmsford Racecourse Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/9/3/1/12139.svg,10,7,Windsor Pass,7,Luke Morris,John Butler,1,130,7,4.33,4.33,4,4,4,4,4,454322,,,,,,,,Stan Sheppard,2,14:45 | Newton Abbot | Howth,15:55 | Newton Abbot | Turpin Gold,,,,,,,,,,Lemos De Souza,1,18:55 | Lingfield (AW) | Fiorella Princess,,,,,,,,,,
,Chelmsford (AW),20:40,Celebrate Christmas At Chelmsford Racecourse Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/7/8/2/227287.svg,10,8,Thomas Equinas,6,Hollie Doyle,Dean Ivory,8,129,6.5,11,10,11,9.5,9,9,9.5,252744,,,,,,,,Sean Bowen,3,14:45 | Newton Abbot | Haptics,15:55 | Newton Abbot | Chillhi,16:30 | Newton Abbot | Secret Trix,,,,,,,,,Amanda Perrett,1,18:55 | Lingfield (AW) | Virtue Temperance,,,,,,,,,,
,Chelmsford (AW),20:40,Celebrate Christmas At Chelmsford Racecourse Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/1/3/7/343731.svg,10,9,Latin,4,Mason Paetel(5),James Owen,7,123,6.5,7,6.5,7,6.5,6.5,6.5,6.5,676335,,,,,,,,David Noonan,1,14:45 | Newton Abbot | Majestic Moment,,,,,,,,,,,Philip McBride,1,18:55 | Lingfield (AW) | Juno Star,,,,,,,,,,
,Chelmsford (AW),20:40,Celebrate Christmas At Chelmsford Racecourse Handicap,Class 6,7,"£3,664",Standard,AW,https://www.rp-assets.com/svg/9/4/6/196649.svg,10,10,Autumn Festival,6,Rhys Elliott(5),Ed de Giles,6,119,17,29,29,29,29,29,29,29,636995,,,,,,,,Fern O'Brien,1,14:45 | Newton Abbot | Saratoga Lass,,,,,,,,,,,Jack Jones,1,19:25 | Lingfield (AW) | Saliko,,,,,,,,,,
,Chester,14:10,Powells Jewellery EBF Fillies' Conditions Stakes (GBB/IRE Incentive Race),Class 2,6,"£12,885",Good,Turf,https://www.rp-assets.com/svg/4/5/3/360354.svg,5,1,Blingy's Sister,2,Jason Hart,Hugo Palmer,4,128,5.5,4,4,4,4,4,4,4,1,,2,3.75,,,,,Bryan Carver,1,14:45 | Newton Abbot | Absolut Grey,,,,,,,,,,,Mark Usher,1,19:25 | Lingfield (AW) | The Bay Warrior,,,,,,,,,,
,Chester,14:10,Powells Jewellery EBF Fillies' Conditions Stakes (GBB/IRE Incentive Race),Class 2,6,"£12,885",Good,Turf,https://www.rp-assets.com/svg/b/5/3/349435b.svg,5,2,Coming Attraction,2,Jack Mitchell,Roger Varian,5,128,1.73,3,2.75,3,2.75,2.75,2.8,2.75,21,,1,2.75,,,,,Tristan Durrell,3,14:45 | Newton Abbot | Top Tier Gossip,15:20 | Newton Abbot | Got Grey,16:30 | Newton Abbot | Queens Venture,,,,,,,,,Harry Charlton,1,19:25 | Lingfield (AW) | Catherine's Gift,,,,,,,,,,
,Chester,14:10,Powells Jewellery EBF Fillies' Conditions Stakes (GBB/IRE Incentive Race),Class 2,6,"£12,885",Good,Turf,https://www.rp-assets.com/svg/4/5/7/359754.svg,5,3,Concert,2,Cieren Fallon,William Haggas,1,128,7.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,21,,4,3.5,,,,,Jay Tidball,1,15:20 | Newton Abbot | Centara,,,,,,,,,,,Evan Williams,4,14:15 | Newton Abbot | Lynsey Larue,15:55 | Newton Abbot | Jackson's Bay,16:30 | Newton Abbot | Balkardy,17:05 | Newton Abbot | Blackacre,,,,,,,
,Chester,14:10,Powells Jewellery EBF Fillies' Conditions Stakes (GBB/IRE Incentive Race),Class 2,6,"£12,885",Good,Turf,https://www.rp-assets.com/svg/5/0/1/16105.svg,5,4,Entailed,2,P J McDonald,Andrew Balding,2,128,5,5.5,5.5,5.5,5.5,5,5,5.5,916,,3,6,,,,,Freddie Mitchell,1,15:20 | Newton Abbot | Ballywilliam Boy,,,,,,,,,,,D J Jeffreys,1,14:15 | Newton Abbot | Irisante,,,,,,,,,,
,Chester,14:10,Powells Jewellery EBF Fillies' Conditions Stakes (GBB/IRE Incentive Race),Class 2,6,"£12,885",Good,Turf,https://www.rp-assets.com/svg/b/9/9/301099b.svg,5,5,Trust Amy,2,Sean D Bowen,Gary Hanmer,3,128,51,67,67,51,51,51,51,51,94,,5,51,,,,,Gavin Sheehan,1,15:20 | Newton Abbot | Obsessedwithyou,,,,,,,,,,,Emma Lavelle,1,14:15 | Newton Abbot | Midnight Pass,,,,,,,,,,
,Chester,14:40,Virgin Bet Chester Stakes (Listed Race),Class 1,14.5,"£34,026",Good,Turf,https://www.rp-assets.com/svg/9/8/1/285189.svg,8,1,Alsakib,5,P J McDonald,Andrew Balding,5,134,3.25,2.75,2.63,2.75,2.63,2.63,2.5,2.63,178-44,,,,,,,,Charlie Price,1,15:55 | Newton Abbot | Feel The Pinch,,,,,,,,,,,Barry Brennan,1,14:15 | Newton Abbot | Casual Encounter,,,,,,,,,,
,Chester,14:40,Virgin Bet Chester Stakes (Listed Race),Class 1,14.5,"£34,026",Good,Turf,https://www.rp-assets.com/svg/b/9/9/301099b.svg,8,2,Minella Rescue,7,Sean D Bowen,Gary Hanmer,3,134,23,41,41,34,41,41,34,41,,,,,,,,,Chad Bament,1,15:55 | Newton Abbot | Juggernaut,,,,,,,,,,,Tom Lacey,3,14:45 | Newton Abbot | Howth,15:55 | Newton Abbot | Turpin Gold,16:30 | Newton Abbot | Luttrell Lad,,,,,,,,
,Chester,14:40,Virgin Bet Chester Stakes (Listed Race),Class 1,14.5,"£34,026",Good,Turf,https://www.rp-assets.com/svg/6/2/9/345926.svg,8,3,Prydwen,7,Callum Shepherd,George Scott,6,134,15,11,11,10,11,10,10,11,-64P00,,,,,,,,Danny Mullins,2,15:55 | Newton Abbot | Tuba,16:30 | Newton Abbot | Feud,,,,,,,,,,D Summersby,2,14:45 | Newton Abbot | Majestic Moment,14:45 | Newton Abbot | Absolut Grey,,,,,,,,,
,Chester,14:40,Virgin Bet Chester Stakes (Listed Race),Class 1,14.5,"£34,026",Good,Turf,https://www.rp-assets.com/svg/5/0/6/179605.svg,8,4,Tabletalk,4,Jack Mitchell,Tom Clover,7,134,2.63,3,3,3,2.88,3,3,2.88,5-2263,,,,,,,,Adam Wedge,2,15:55 | Newton Abbot | Jackson's Bay,17:05 | Newton Abbot | Blackacre,,,,,,,,,,Dan Skelton,4,14:45 | Newton Abbot | Top Tier Gossip,15:20 | Newton Abbot | Got Grey,16:30 | Newton Abbot | Mostly Sunny,16:30 | Newton Abbot | Queens Venture,,,,,,,
,Chester,14:40,Virgin Bet Chester Stakes (Listed Race),Class 1,14.5,"£34,026",Good,Turf,https://www.rp-assets.com/svg/g/4/7/292374g.svg,8,5,Tashkhan,7,Ben Robinson,Brian Ellison,8,134,13,,,,,,,,5930-6,,,,,,,,Jack Tudor,2,15:55 | Newton Abbot | Catboy,17:05 | Newton Abbot | Unspeakable,,,,,,,,,,Paul Nicholls,1,15:20 | Newton Abbot | Centara,,,,,,,,,,
,Chester,14:40,Virgin Bet Chester Stakes (Listed Race),Class 1,14.5,"£34,026",Good,Turf,https://www.rp-assets.com/svg/3/7/0/7073.svg,8,6,Allonsy,4,Edward Greatrex,Ralph Beckett,2,132,9,6,6,6,6,5.5,5.5,6,2-5417,,,,,,,,Ben Godfrey,1,15:55 | Newton Abbot | It's Life,,,,,,,,,,,Jamie Snowden,1,15:20 | Newton Abbot | Obsessedwithyou,,,,,,,,,,
,Chester,14:40,Virgin Bet Chester Stakes (Listed Race),Class 1,14.5,"£34,026",Good,Turf,https://www.rp-assets.com/svg/b/0/0/308300b.svg,8,7,Orchard Keeper,4,Aidan Keeley,Roger Varian,1,129,19,10,10,10,10,9,9,10,326132,,,,,,,,Jack Quinlan,1,16:30 | Newton Abbot | D Day Arvalenreeva,,,,,,,,,,,Anthony Honeyball,3,15:20 | Newton Abbot | Breaking Cover,15:55 | Newton Abbot | Juggernaut,15:55 | Newton Abbot | Gore Point,,,,,,,,
,Chester,14:40,Virgin Bet Chester Stakes (Listed Race),Class 1,14.5,"£34,026",Good,Turf,https://www.rp-assets.com/svg/1/4/6/347641.svg,8,8,Too Soon,3,Rob Hornby,Gary & Josh Moore,4,125,13,,,,,,,,4-6955,,,,,,,,Mrs Izzie Hill,1,16:30 | Newton Abbot | Luttrell Lad,,,,,,,,,,,Robbie Llewellyn,1,15:55 | Newton Abbot | Feel The Pinch,,,,,,,,,,
,Chester,15:15,Virgin Bet Supports Safe Gambling Handicap,Class 2,7.5,"£51,540",Good,Turf,https://www.rp-assets.com/svg/3/4/2/303243.svg,14,1,Al Shabab Storm,4,Marco Ghiani,Marco Botti,3,138,11,11,11,11,11,11,11,11,9-3930,,,,,,,,Harry Atkins,1,16:30 | Newton Abbot | Mostly Sunny,,,,,,,,,,,Richard John O'Brien,2,15:55 | Newton Abbot | Tuba,16:30 | Newton Abbot | Feud,,,,,,,,,
