No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Silk,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,ORI,Best,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,,,RESULT,SP odd,,Form,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton Abbot,Deauville,16:52,Lucien Barriere Grand Prix de Deauville (Group 2) (3yo+) (Round Course) (Turf),Class 1,12.5,"£86,207",Soft,Turf,https://www.rp-assets.com/svg/b/5/7/95175b.svg,6,2,Casapueblo,4,Augustin Madamet,A Fabre,2,130,N/A,,,,,,,,-22652,,,,,,,,Augustin Madamet,2,16:52 | Deauville | Casapueblo,17:27 | Deauville | Tito Mo Cen,,,,,,,,,,C Ferland,2,16:52 | Deauville | Uther,17:27 | Deauville | No Lunch,,,,,,,,,
6,Deauville,16:52,Lucien Barriere Grand Prix de Deauville (Group 2) (3yo+) (Round Course) (Turf),Class 1,12.5,"£86,207",Soft,Turf,https://www.rp-assets.com/svg/5/7/1/95175.svg,6,3,Marquisat,5,Cristian Demuro,A Fabre,4,130,N/A,,,,,,,,2356-1,,,,,,,,Cristian Demuro,2,16:52 | Deauville | Marquisat,17:27 | Deauville | Vertbois,,,,,,,,,,Kevin Ryan,2,17:27 | Deauville | Volterra,16:17 | Beverley | Cape Sovereign,,,,,,,,,
Sandown,Deauville,16:52,Lucien Barriere Grand Prix de Deauville (Group 2) (3yo+) (Round Course) (Turf),Class 1,12.5,"£86,207",Soft,Turf,https://www.rp-assets.com/svg/9/2/3/347329.svg,6,4,Sunway,4,Christophe Soumillon,David Menuisier,5,130,N/A,,,,,,,,0-3544,,,,,,,,Christophe Soumillon,3,16:52 | Deauville | Sunway,17:27 | Deauville | Devil's Point,18:02 | Deauville | Balmoral Lady,,,,,,,,,M Nigge,1,17:27 | Deauville | Apax,,,,,,,,,,
7,Deauville,16:52,Lucien Barriere Grand Prix de Deauville (Group 2) (3yo+) (Round Course) (Turf),Class 1,12.5,"£86,207",Soft,Turf,https://www.rp-assets.com/svg/g/1/7/301671g.svg,6,5,New Ground,3,Alexis Pouchin,H-F Devin,6,121,N/A,,,,,,,,1-3343,,,,,,,,Alexis Pouchin,3,16:52 | Deauville | New Ground,17:27 | Deauville | Contentious Soul,18:02 | Deauville | Ten Horns,,,,,,,,,P De Chevigny,1,17:27 | Deauville | Contentious Soul,,,,,,,,,,
Baden-Baden,Deauville,16:52,Lucien Barriere Grand Prix de Deauville (Group 2) (3yo+) (Round Course) (Turf),Class 1,12.5,"£86,207",Soft,Turf,https://www.rp-assets.com/svg/4/3/9/59934.svg,6,6,Uther,3,Maxime Guyon,C Ferland,1,121,N/A,,,,,,,,-21344,,,,,,,,Maxime Guyon,3,16:52 | Deauville | Uther,17:27 | Deauville | No Lunch,18:02 | Deauville | Cacofonix,,,,,,,,,Charles Hills,3,17:27 | Deauville | Cicero's Gift,13:50 | Sandown | Galeron,21:52 | Kentucky Downs | Khaadem,,,,,,,,
1,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/6/3/3/55336.svg,12,1,Volterra,4,Shane Gray,Kevin Ryan,1,128,N/A,,,,,,,,0021-3,,,,,,,,Shane Gray,1,17:27 | Deauville | Volterra,,,,,,,,,,,N Caullery,1,17:27 | Deauville | Tumbler,,,,,,,,,,
Curragh,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/8/8/0/97088.svg,12,2,Apax,5,Mme Marie Velon,M Nigge,5,128,N/A,,,,,,,,-15433,,,,,,,,Mme Marie Velon,1,17:27 | Deauville | Apax,,,,,,,,,,,Roger Varian,7,17:27 | Deauville | My Cloud,14:35 | Beverley | Secret Echo,14:10 | Chester | Coming Attraction,14:40 | Chester | Orchard Keeper,17:00 | Chester | Miraculous,14:25 | Sandown | Lady Of Spain,15:00 | Sandown | Saddadd,,,,
8,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/1/5/8/357851.svg,12,3,Devil's Point,4,Christophe Soumillon,David Menuisier,9,128,N/A,,,,,,,,/3118-,,,,,,,,Billy Loughnane,2,17:27 | Deauville | Cicero's Gift,18:02 | Deauville | Rosy Affair,,,,,,,,,,A De Mieulle,1,17:27 | Deauville | Dark Trooper,,,,,,,,,,
Kentucky Downs,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/4/9/2/150294.svg,12,4,Contentious Soul,4,Alexis Pouchin,P De Chevigny,8,128,N/A,,,,,,,,-63211,,,,,,,,Stephane Pasquier,1,17:27 | Deauville | Tumbler,,,,,,,,,,,S Wattel,1,17:27 | Deauville | Dreamliner,,,,,,,,,,
3,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/5/7/1/95175.svg,12,5,Vertbois,4,Cristian Demuro,A Fabre,2,128,N/A,,,,,,,,-16258,,,,,,,,Silvestre De Sousa,1,17:27 | Deauville | My Cloud,,,,,,,,,,,Mme Victoria Head,1,17:27 | Deauville | Tito Mo Cen,,,,,,,,,,
